Date	Dividends	Stock Splits
1998-08-18	0.0	2.0
1999-02-23	0.0	2.0
1999-07-06	0.0	3.0
2006-01-25	6.0	0.0
2010-11-29	0.05	0.0
2011-01-28	0.05	0.0
2011-04-29	0.05	0.0
2011-07-29	0.05	0.0
2011-10-28	0.06	0.0
2012-01-30	0.06	0.0
2012-04-27	0.06	0.0
2012-07-27	0.06	0.0
2012-11-07	0.09	0.0
2012-12-19	0.5	0.0
2013-01-30	0.09	0.0
2013-04-29	0.09	0.0
2013-07-30	0.09	0.0
2013-11-05	0.12	0.0
2013-11-29	0.5	0.0
2014-02-03	0.12	0.0
2014-04-30	0.12	0.0
2014-07-30	0.12	0.0
2014-11-04	0.15	0.0
2015-02-02	0.15	0.0
2015-04-29	0.15	0.0
2015-07-31	0.15	0.0
2015-11-06	0.17	0.0
2016-02-01	0.17	0.0
2016-04-29	0.17	0.0
2016-08-02	0.17	0.0
2016-11-04	0.18	0.0
2017-01-30	0.18	0.0
2017-04-28	0.18	0.0
2017-07-28	0.18	0.0
2017-11-06	0.21	0.0
2018-02-05	0.21	0.0
2018-05-07	0.21	0.0
2018-08-06	0.21	0.0
2018-11-05	0.3	0.0
2019-02-04	0.3	0.0
2019-05-06	0.3	0.0
2019-08-05	0.3	0.0
2019-11-04	0.31	0.0
2020-02-04	0.31	0.0
2020-05-05	0.31	0.0
2020-08-06	0.31	0.0
