2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	7.54
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	7.32
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	17.14
highestControversy	2
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	11.92
peerGroup	Diversified Financials
smallArms	False
environmentScore	2.28
governancePercentile	
militaryContract	False
